CONCEPT_ROOT_NODE,inanimate_object,unit,statement,evidence,discussion,file,consumer_durable,instrumentality,summary,concept,storage_device,artifact,topic,region,location,moment,money,pointer,appendage,state,illness,fabric,figure,connector,fastener,communicator,cabling,device,adapt,compatibility,publication,equipment,machine,quality,layer,disclosure,degree,look,panel,wall,history,narrative,data,message,product,digital,films,entertainment,motion_pictures,ld,disc,sacd,optical_disc,parachute,hiker,hiking,transport,utility,transportation,hike,clique,clothing,hanger,impurity,fluid,pass,attenuates,particulate,sort,isolate,sift,filtration,sound,dissolved,signal,frequencies,clearness,otherwise,or,ostracise,separate,else,another,something_else,unfamiliar,different,second,apart,stronghold,extent,material,code,project,imperfection,microphone,cognitive_psychology,thinking,repairing,programming,pane,household_durables,document,transfer,install,upload,system,release,egress,activity,intensity,distance,importance,liveliness,force,resuscitator,bed_linen,shape,imagery,artwork,representation,road,idea,imprint,display,translucence,software,template,radiation,illumination,electromagnetic_radiation,extension,condiment,emission,energy,spread,diffuse,burdock,protrusion,support,loud,quantity,talker,human,leader,person,speech,utterance,vocalizing,talking,loudspeaker,speaking,reproducer,government,speaks,stereos,assembly,meeting,communication,gathering,proceeding,communicate,utter,component,frequency,container,baggage,wrapping,paper,loop,accessory,badge,legislator,vehicle,motor_vehicle,examination,following,furnishings,transaction,grant,change,coupler,lamping,php,wamp,lights,sights,instrument,condition,part,section,thing,object,constituent,tracker,book,plan,article,characteristic,constitution,item,cellulose,firm,sheets,pages,writing,pen,textile,text,peripheral,carbon,scissors,linen,business,electronic_equipment,platform,performer,guitarist,electrode,hobbyist,gain,attack,musician,port,weaponry,headphone,pedal,video,ship,vessel,boat,tableware,breakable,binoculars,magnifier,eyes,receive,electronic_component,phone,athlete,player,sports,blanket,touch,organism,physical_activity
inanimate_object,artifact,plastic,paper
unit,instrumentality
statement,summary,condition
evidence,argument,record
discussion,argument,conference
file,case,download
consumer_durable,baggage,furniture,gun
instrumentality,container,device,equipment,system
summary,argument
concept,fact
storage_device,box,envelope,desk
artifact,instrumentality,thing,article,device
topic,area
region,area
location,space
moment,time
money,time
pointer,handle
appendage,handle
state,condition,situation,status,representation
illness,condition
fabric,cord,linen,print
figure,line
connector,hook
fastener,catch
communicator,broadcaster,announcer,articulator
cabling,cable
device,mount,adapter,camera,mechanism,computer_hardware,implement,instrument,weapon,controller,conductor
adapt,adapter
compatibility,adapter
publication,book,magazine,periodical
equipment,photographic_equipment,electronic_equipment,materiel,backpack,material
machine,computer,printer
quality,characteristic,clearness
layer,surface
disclosure,display
degree,quality
look,view,stare
panel,window
wall,window,fence,bracket
history,background,past
narrative,history
data,information
message,information
product,electronic_component
digital,dvd
films,movies
entertainment,movies
motion_pictures,movies
ld,dvd
disc,dvd,gobo
sacd,dvd
optical_disc,dvd
parachute,backpack
hiker,backpacker
hiking,backpacking
transport,carrying
utility,instrumentality
transportation,carry
hike,backpack
clique,loop
clothing,accessory
hanger,strap
impurity,filter
fluid,filtrate,filter
pass,filter
attenuates,filter
particulate,filter
sort,filter
isolate,filter
sift,filter
filtration,filter
sound,noise
dissolved,filter
signal,filter
frequencies,filter
clearness,translucence
otherwise,other
or,other
ostracise,other
separate,other
else,other
another,other
something_else,other
unfamiliar,other
different,other
second,other
apart,other
stronghold,hold
extent,coverage
material,copy,plastic,paper
code,software
project,program
imperfection,defect
microphone,bug
cognitive_psychology,problem_solving
thinking,problem_solving
repairing,debugging
programming,software
pane,panel
household_durables,consumer_electronics
document,record
transfer,download
install,download
upload,download
system,program,network,structure
release,emission
egress,emission
activity,liveliness
intensity,force
distance,wavelength
importance,weight
liveliness,energy
force,energy
resuscitator,bag
bed_linen,sheet
shape,figure,cube
imagery,illustration
artwork,illustration
representation,illustration,figure,picture
road,line
idea,impression
imprint,impression
display,screen,monitor
translucence,screen,lens
software,program,open_source
template,gobo
radiation,electromagnetic_radiation
illumination,light,lamp
electromagnetic_radiation,light,photons
extension,spread
condiment,spread
emission,radiation,discharge
energy,radiation
spread,radiation
diffuse,gobo
burdock,gobo
protrusion,fixture
support,bracket,hanger
loud,speaker
quantity,product
talker,speaker
human,person
leader,presiding_officer
person,communicator,athlete,contestant
speech,talking,speaker,discussion
utterance,speaking,speech
vocalizing,speaking
talking,speaker,speaking
loudspeaker,speaker,woofer,tweeter
speaking,speech,speaker
reproducer,stereo
government,state
speaks,speaker
stereos,speaker
assembly,convention,meeting
meeting,convention,conference,session
communication,discussion
gathering,meeting,assembly
proceeding,hearing
communicate,speak
utter,speak
component,audio,module
frequency,audio
container,case,bag,box,compartment,package,vessel
baggage,bag,knapsack
wrapping,envelope
paper,sheet,card,parchment,linen
loop,belt
accessory,belt
badge,stripe
legislator,whip
vehicle,car
motor_vehicle,car
examination,search
following,pursuit
furnishings,furniture
transaction,commerce
grant,award
change,switch
coupler,switch
lamping,lamp
php,lamp
wamp,lamp
lights,lamp
sights,gunsight
instrument,weapon
plastic,bag
condition,circumstance,situation,mode
argument,case
record,history,file
conference,session
case,baggage
download
furniture,table,lamp,desk
gun,rifle,firearm
fact,case
box,case
envelope,card
desk,lamp
area,space
space,compartment
time,space
handle,case
situation,event,standing,picture
status,standing
cord,cable,wick
line,cord,rope,sheet
hook,anchor
catch,hook
broadcaster,announcer
announcer,newscaster
articulator,speaker
cable
mount
adapter
camera
mechanism,filter,action
computer_hardware,computer
implement,sharpener
weapon,gun
book,cover,method,notebook
